Grouping,Group,Variable,offset_mean,offset_ci_low,offset_ci_high,pct_amp_diff_mean,pct_amp_diff_ci_low,pct_amp_diff_ci_high
kg_label,BWh,ET,-50.136,-90.775,35.650000000000034,-34.20769860668201,-67.00558750789247,19.456855934053202
kg_label,BWh,WUE,172.556,-127.725,317.20000000000005,30.567443409363033,-56.89405519876595,228.60683093777757
kg_label,BWk,GPP,-1.196,-60.0,60.775000000000006,-66.16574053580447,-83.50950763166819,-27.653153563819707
kg_label,BWk,ET,2.82,-38.775,43.0,-64.16909582400602,-79.46267428897454,-42.93282088158335
kg_label,BWk,WUE,63.972,-84.875,150.0,57.14691501165442,-37.88883554883483,211.8550586764826
kg_label,Cfa,GPP,-27.704,-52.0,-3.2249999999999943,-15.127006076903063,-29.618189894120007,3.54779278979586
kg_label,Cfa,ET,-22.516,-32.0,-9.449999999999989,-21.44459826523034,-31.248707169647552,-11.013496643219417
kg_label,Cfa,WUE,-27.472,-138.17499999999998,105.15000000000015,102.61707304236508,-11.403826196048364,372.27790227434457
kg_label,Cfb,GPP,-12.348,-25.775,1.0,-7.0968750699645895,-22.281708443306815,12.253732838333256
kg_label,Cfb,ET,8.648,-2.0,18.0,-8.635618324067643,-17.334415540250827,0.4114585958039756
kg_label,Cfb,WUE,188.276,-5.324999999999998,364.0,184.89609783677489,11.13970453266189,547.0352206732248
kg_label,Csa,GPP,-61.704,-102.325,1.4250000000000398,-21.032289209615715,-54.48745718055533,29.887764145149912
kg_label,Csa,ET,0.444,-20.0,28.0,-21.013044852218567,-45.193788686937516,15.339619001199875
kg_label,Csa,WUE,15.1,-365.0,364.0,43.00389470673249,-39.89526053934821,210.1676767112797
kg_label,Csb,GPP,-2.04,-44.0,62.775000000000006,4.545344273209467,-33.16750231993495,44.48002193837732
kg_label,Csb,ET,38.668,-2.7749999999999995,93.0,-15.888104134401004,-42.79390479975157,23.33515502965646
kg_label,Csb,WUE,-134.08,-307.325,98.775,110.39313257828375,14.410587296163401,255.95516295122073
kg_label,Cwa,GPP,-18.548,-59.099999999999994,89.0,27.880205261755574,-52.647108868984525,128.0297086684769
kg_label,Cwa,ET,-33.604,-74.3,22.0,-32.19277818177305,-62.50540175784776,5.789078947020039
kg_label,Cwa,WUE,-17.628,-213.0,283.1,209.63553631690138,-1.9248179712298608,551.791844480463
kg_label,Cwb,GPP,53.036,20.0,214.0,38.80964661829775,-34.884968802529805,195.27420725566986
kg_label,Cwb,ET,-7.072,-130.0,37.0,49.44814841687797,-32.71457462763178,215.0643132555306
kg_label,Cwb,WUE,30.548,-159.0,258.0,24.268496414798893,-28.565688547853618,72.38151856540104
kg_label,Dfa,GPP,-56.756,-65.0,-25.224999999999994,-12.922769323382083,-27.121465028831423,2.9686526793402765
kg_label,Dfa,ET,-26.404,-39.775,-8.0,-20.800945849401103,-27.971714089921726,-12.61054367656258
kg_label,Dfa,WUE,-48.448,-69.775,7.550000000000011,-30.17723750566397,-49.0923558386835,-2.383238705932877
kg_label,Dfb,GPP,-14.648,-20.775,-4.0,4.804278403537094,-9.754505674305104,18.765575873567236
kg_label,Dfb,ET,-20.152,-27.0,-10.224999999999994,-11.378145050639262,-21.714682269967216,-0.6414055838884162
kg_label,Dfb,WUE,-21.504,-138.0,23.775000000000006,-10.288446495756915,-38.00381033520805,28.066543477144087
kg_label,Dwa,GPP,11.576,-60.775,46.0,-15.881500327323769,-38.740861837487735,15.478944692019537
kg_label,Dwa,ET,-9.32,-42.0,36.0,-25.37466325176438,-36.914255745752854,-14.210968351160506
kg_label,Dwa,WUE,-18.94,-174.775,47.55000000000001,67.54524732924789,-5.3009387837599045,260.8339086718186
kg_label,ET,GPP,-2.752,-207.775,83.775,-42.46653450414946,-71.37831193790319,33.872737010803995
kg_label,ET,ET,25.208,-45.324999999999996,77.0,-53.55669754173326,-72.13872292037163,-29.603829504627285
kg_label,ET,WUE,45.676,-153.0,264.55,44.96712585565962,-34.15785860092544,180.17722212760268
