Resolution,Grouping,Group,Variable,n,R2,RMSE,Bias,Slope
Half-hourly,Veg,DBF,ET,25,0.630143705439651,86.62094450211184,0.8500003599999991,0.5190126036826707
Half-hourly,Veg,DBF,WUE,25,0.08037824571620768,1.7880982939998757,1.1120135811326575,0.5466853418993085
Half-hourly,Veg,EBF,GPP,16,9.96821200836013e-06,12.52963336933914,-4.517598186866688,0.004302724210172446
Half-hourly,Veg,EBF,ET,16,0.49383429596890954,96.73949829755182,47.061440125000004,0.819287991111808
Half-hourly,Veg,EBF,WUE,16,0.0011110122159773879,3.04104793103872,-0.033313967320923454,0.05828389785096388
Half-hourly,Veg,ENF,GPP,42,0.1370260091972578,8.160779639639742,-4.049383232362858,0.13164344937562888
Half-hourly,Veg,ENF,ET,42,0.08345638195274419,150.61081729259243,72.9907756904762,0.2542307110646779
Half-hourly,Veg,ENF,WUE,42,0.15809766879908232,5.9519456103324675,1.487630105655174,1.794803580682562
Half-hourly,Veg,GRA,GPP,155,0.17294467072059938,7.894950208012782,-2.728246532550116,0.26704415222436206
Half-hourly,Veg,GRA,ET,155,0.20596797957796767,110.7225606084008,-26.437894270967742,0.24944444584963915
Half-hourly,Veg,GRA,WUE,155,0.04871236115083331,4.558815894274065,2.1956314701039967,0.7037561041318428
Half-hourly,Veg,MF,GPP,11,0.3686791453652739,7.546845007111616,-2.8671138943145453,0.6244453972196077
Half-hourly,Veg,MF,ET,11,0.36510629167788705,120.5566439654247,44.10034390909091,0.555300373291904
Half-hourly,Veg,MF,WUE,11,0.04196547899493221,4.241970324478388,-0.0018580947604960923,-0.10881383509398644
Half-hourly,Veg,OSH,GPP,14,0.4906467853985191,2.548025172474357,2.152960468132857,1.1085660990750719
Half-hourly,Veg,OSH,ET,14,0.3806150805270666,45.6089499727405,31.5008225,0.46358214051219315
Half-hourly,Veg,OSH,WUE,14,0.30874562619897017,1.528411216565527,1.4265373683503435,0.5909634843199737
Half-hourly,Veg,WSA,GPP,31,0.5435175931891965,4.902550712847545,3.5353473912722575,0.6692745193273938
Half-hourly,Veg,WSA,ET,31,0.32088508355567275,197.16499611454063,178.6675429032258,0.5028923805238736
Half-hourly,Veg,WSA,WUE,31,0.0005618147913915401,1.3775532493620133,0.7671689884117313,0.030944799192131476
Half-hourly,TOD,Afternoon,GPP,90,0.05894784712343207,8.613381877228575,-2.4953700601798556,0.17194344997995106
Half-hourly,TOD,Afternoon,ET,90,0.008303229046349558,124.6015789725839,-1.7787929999999998,0.05932114648133212
Half-hourly,TOD,Afternoon,WUE,90,0.03978594856585073,4.361895248343243,1.7469947677234097,0.44182732125076785
Half-hourly,TOD,Midday,GPP,179,0.31319064938003116,7.610704469323019,-0.9423728423043016,0.4271182642157003
Half-hourly,TOD,Midday,ET,179,0.16090019946453826,131.13670553557864,23.90228849720671,0.30607855865858136
Half-hourly,TOD,Midday,WUE,179,0.026885666365889845,5.3173809503884515,1.9765569187435796,0.6024519392668582
Half-hourly,TOD,Morning,GPP,63,0.46585270218679364,6.410003085412491,-1.2001434158447306,0.48962912168006095
Half-hourly,TOD,Morning,ET,63,0.13427033739963876,89.57243505362953,7.3635501904761895,0.23764358392647575
Half-hourly,TOD,Morning,WUE,63,0.1334073774467884,5.830898713101891,3.0011980673690593,0.9235132878330627
Daily,Site,AU-Stp,GPP,6,0.08794984590648715,1.1387935450469218,0.6736155935429333,1.2729558248598494
Daily,Site,AU-Stp,ET,6,0.8115614098000954,0.6917440790485256,0.5894406990935149,0.7487820421420053
