IGBP_MODIS,IGBP_VIIRS,WUE,WUE_ECO,SIF,ET,Phase_Angle,SIF_Uncertainty,IGBP,WUE_gCkgH20,GPP,IGBP_class_MODIS,IGBP_class_VIIRS,SiteName,Lat,Lon,Timestamp,LocalTime,TOD,Season,kg_class,kg_confidence,kg_label,SPEI
12.0,12.0,0.048573695,0.92663354,0.13722049,2.9056134,56.133236,0.31367773,12.0,0.6620594645291568,1.8703152377903463,CRO,CRO,tmx005,35.0,-101.0,2021-10-08 17:20:58,2021-10-08 10:30:00,Morning,Fall,7.0,70.0,BSk,-0.9227305054664612
13.0,13.0,0.04207106,0.7803512,0.10244102,2.5308058,53.290268,0.31849334,13.0,0.5734285388886929,1.396271106824279,URB,URB,tmx005,35.0,-101.0,2021-10-08 17:20:58,2021-10-08 10:30:00,Morning,Fall,7.0,70.0,BSk,-0.9227305054664612
8.0,8.0,0.06997406,1.2495166,0.1494392,2.4770162,63.38758,0.26602066,8.0,0.953746402040124,2.0368563063442706,WSA,WSA,eco012,-37.0,144.0,2021-05-26 01:48:38,2021-05-26 11:30:00,Midday,Fall,7.0,71.0,BSk,0.5127536654472351
9.0,9.0,0.08359012,1.0982953,0.13756078,2.211853,67.51959,0.2719437,9.0,1.1393333366513252,1.8749534970521928,SAV,SAV,eco012,-37.0,144.0,2021-05-26 01:48:38,2021-05-26 11:30:00,Midday,Fall,7.0,71.0,BSk,0.5127536654472351
10.0,10.0,0.059225067,0.89827466,0.2172819,2.351295,46.555584,0.27664116,10.0,0.8072376699745656,2.9615522001683714,GRA,GRA,eco012,-37.0,144.0,2021-05-26 01:48:38,2021-05-26 11:30:00,Midday,Fall,7.0,71.0,BSk,0.5127536654472351
12.0,12.0,0.06002693,0.76776797,0.13854094,2.0834498,62.394016,0.26823917,12.0,0.8181670393049717,1.888312991708517,CRO,CRO,eco012,-37.0,144.0,2021-05-26 01:48:38,2021-05-26 11:30:00,Midday,Fall,7.0,71.0,BSk,0.5127536654472351
1.0,1.0,0.07952034,1.420386,0.56554794,4.3300276,78.51566,0.34712696,1.0,1.0838621971756222,7.708418464660645,ENF,ENF,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
4.0,4.0,0.17249157,1.8992431,0.89463043,4.9594193,51.040813,0.35667706,4.0,2.351060035675764,12.193812789916993,DBF,DBF,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
5.0,5.0,0.13162437,1.3842,0.657257,4.906562,64.77654,0.3435856,5.0,1.7940401741862297,8.958413189053536,MF,MF,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
8.0,8.0,0.09744976,1.1882534,0.51383173,4.9292374,75.95222,0.30652043,8.0,1.3282401900738479,7.003526543378831,WSA,WSA,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
9.0,9.0,0.14215496,1.3042778,0.70262766,4.860667,59.45305,0.3566988,9.0,1.9375721296668054,9.57681499004364,SAV,SAV,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
10.0,10.0,0.22284308,1.3911372,1.0212402,4.718929,29.997107,0.43962634,10.0,3.037351190745831,13.91950439453125,GRA,GRA,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
11.0,11.0,0.075403795,0.77932453,0.3646412,4.948189,67.52532,0.30696678,11.0,1.0277537210285663,4.970059413909913,WET,WET,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
12.0,12.0,0.22196513,1.237618,1.0573456,4.7971005,30.891827,0.43364608,12.0,3.025384778380394,14.411620919704438,CRO,CRO,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
13.0,13.0,0.0997367,0.985611,0.45981565,4.6019273,58.87067,0.31300166,13.0,1.359411193355918,6.267287325561047,URB,URB,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
14.0,14.0,0.19515505,1.2637067,0.91176647,4.774014,45.545372,0.40235877,14.0,2.659963390529156,12.427376978993417,CVM,CVM,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
17.0,17.0,0.07846415,0.90202075,0.5408206,4.9478564,56.69606,0.31595412,17.0,1.069466370344162,7.37138475894928,WAT,WAT,fos015,51.0,0.0,2021-06-08 14:00:50,2021-06-08 14:00:00,Midday,Summer,15.0,100.0,Cfb,0.8454294204711914
10.0,10.0,0.24763837,1.3433181,0.5139094,2.1663196,57.5197,0.29932246,10.0,3.3753110453486443,7.004585115313531,GRA,GRA,fos190,49.0,-103.0,2021-06-21 14:44:39,2021-06-21 08:00:00,Morning,Summer,26.0,100.0,Dfb,-1.2225117683410645
12.0,12.0,0.3134436,1.8493404,0.68838006,2.3406246,62.825996,0.3260593,12.0,4.272236283421517,9.38262025296688,CRO,CRO,fos190,49.0,-103.0,2021-06-21 14:44:39,2021-06-21 08:00:00,Morning,Summer,26.0,100.0,Dfb,-1.2225117683410645
13.0,13.0,0.17650451,1.0295676,0.29886913,2.5478404,75.02905,0.28016552,13.0,2.4057564394176008,4.073586282730103,URB,URB,fos190,49.0,-103.0,2021-06-21 14:44:39,2021-06-21 08:00:00,Morning,Summer,26.0,100.0,Dfb,-1.2225117683410645
12.0,12.0,0.07180077,0.8095422,0.08702055,2.3342319,44.602226,0.29908758,12.0,0.9786444729566575,1.186090146228671,CRO,CRO,fos035,-34.0,-58.0,2021-05-23 16:32:18,2021-05-23 12:30:00,Midday,Fall,14.0,100.0,Cfa,0.5448224544525146
13.0,13.0,0.1152874,0.9416648,0.18106866,2.9576504,57.94224,0.3007344,13.0,1.5713672726601362,2.467965819835663,URB,URB,fos035,-34.0,-58.0,2021-05-23 16:32:18,2021-05-23 12:30:00,Midday,Fall,14.0,100.0,Cfa,0.5448224544525146
1.0,1.0,0.10956174,1.5801563,0.3571626,3.6948502,46.979496,0.3084423,1.0,1.4933265346288682,4.868126167058945,ENF,ENF,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
2.0,2.0,0.17546496,1.8301482,0.45987836,4.1062765,42.63094,0.3446542,2.0,2.391587376892567,6.268141982257367,EBF,EBF,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
4.0,4.0,0.119439356,1.1455727,0.5449111,3.387622,41.53732,0.36272335,4.0,1.6279584226757289,7.4271381098032005,DBF,DBF,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
5.0,5.0,0.10141672,1.564291,0.3404538,4.2696776,50.43652,0.3122514,5.0,1.3823099200427533,4.640385342240334,MF,MF,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
7.0,7.0,0.0029078936,0.40213525,0.014709473,4.921479,61.88935,0.31933117,7.0,0.0396345900464803,0.20049011230468752,OSH,OSH,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
8.0,8.0,0.085554585,1.4523371,0.25197077,2.9784918,46.77738,0.31943783,8.0,1.1661089916527272,3.4343615674972536,WSA,WSA,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
9.0,9.0,0.08347378,1.285821,0.24290377,3.0649185,48.485016,0.32738793,9.0,1.1377476113289595,3.310778371691704,SAV,SAV,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
10.0,10.0,0.02193313,1.744965,0.23663992,1.9080203,50.803974,0.3316813,10.0,0.29894857443869116,3.2254020673036576,GRA,GRA,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
12.0,12.0,0.03755152,0.91196376,0.12255892,3.532069,58.116814,0.3294628,12.0,0.5118271975591779,1.6704781010746956,CRO,CRO,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
13.0,13.0,0.05705756,1.1026747,0.16880411,3.278452,49.05336,0.29374638,13.0,0.7776945358514786,2.3008000069856647,URB,URB,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
14.0,14.0,0.07341326,1.2756,0.20703368,3.4371374,53.227905,0.3119525,14.0,1.0006227376312018,2.821869043260813,CVM,CVM,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
17.0,17.0,0.06702128,1.0265868,0.25307655,4.4696116,52.638138,0.26419127,17.0,0.9135000535845758,3.449433422088623,WAT,WAT,eco079,44.0,-123.0,2020-08-13 18:11:59,2020-08-13 10:00:00,Morning,Summer,9.0,100.0,Csb,-1.373235821723938
2.0,2.0,0.09210862,1.7724682,0.5685574,6.0395885,33.142574,0.3851645,2.0,1.2554405204951764,7.749437111616135,EBF,EBF,fos133,-22.0,-43.0,2021-11-23 15:37:09,2021-11-23 13:00:00,Midday,Spring,3.0,79.0,Aw,-1.3352642059326172
8.0,8.0,0.08717012,1.237072,0.5174725,5.896363,36.805073,0.3857756,8.0,1.1881286893039942,7.053150250911713,WSA,WSA,fos133,-22.0,-43.0,2021-11-23 15:37:09,2021-11-23 13:00:00,Midday,Spring,3.0,79.0,Aw,-1.3352642059326172
9.0,9.0,0.0995375,1.1494232,0.56674844,5.482521,43.73184,0.39328057,9.0,1.3566961147636176,7.724781240820885,SAV,SAV,fos133,-22.0,-43.0,2021-11-23 15:37:09,2021-11-23 13:00:00,Midday,Spring,3.0,79.0,Aw,-1.3352642059326172
10.0,10.0,0.085892096,0.9984045,0.43924046,5.789874,46.716904,0.3747605,10.0,1.1707092706859112,5.986847410202027,GRA,GRA,fos133,-22.0,-43.0,2021-11-23 15:37:09,2021-11-23 13:00:00,Midday,Spring,3.0,79.0,Aw,-1.3352642059326172
